United Kingdom 1 (TCP),87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61,tcp,1194 1194 443 992 2460 3389 5005 5555
United Kingdom 1 (UDP),87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61 87.117.198.61,udp,1194 1194 443 992 2460 3389 5005 5555
United Kingdom 2 (TCP),88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114,tcp,1194 443 992 2460 3389 5005 5555
United Kingdom 2 (UDP),88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114 88.150.223.114,udp,1194 443 992 2460 3389 5005 5555
United Kingdom 3 (TCP),109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192,tcp,1194 443 992 2460 3389 5005 5555
United Kingdom 3 (UDP),109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192 109.123.101.192,udp,1194 443 992 2460 3389 5005 5555
United Kingdom 4 (TCP),88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138,tcp,1194 443 992 2460 3389 5005 5555
United Kingdom 4 (UDP),88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138 88.150.192.138,udp,1194 443 992 2460 3389 5005 5555
United Kingdom 5 (TCP),87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2,tcp,1194 443 992 2460 3389 5005 5555
United Kingdom 5 (UDP),87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2 87.117.198.2,udp,1194 443 992 2460 3389 5005 5555
United Kingdom 6 (TCP),92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220,tcp,1194 443 992 2460 3389 5005 5555
United Kingdom 6 (UDP),92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220 92.48.90.220,udp,1194 443 992 2460 3389 5005 5555
United Kingdom 7 (TCP),109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191,tcp,1194 443 992 2460 3389 5005 5555
United Kingdom 7 (UDP),109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191 109.123.101.191,udp,1194 443 992 2460 3389 5005 5555
United Kingdom 8 (TCP),151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197,tcp,1194 443 992 2460 3389 5005 5555
United Kingdom 8 (UDP),151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197 151.236.46.197,udp,1194 443 992 2460 3389 5005 5555
