United States 1 (TCP),108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193,tcp,443 992 2460 3389 5005 5555 1194
United States 1 (UDP),108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193 108.59.8.193,udp,443 992 2460 3389 5005 5555 1194
United States 2 (TCP),104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2,tcp,443 992 2460 3389 5005 5555 1194
United States 2 (UDP),104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2 104.237.61.2,udp,443 992 2460 3389 5005 5555 1194
United States 3 (TCP),50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226,tcp,443 992 2460 3389 5005 5555 1194
United States 3 (UDP),50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226 50.117.24.226,udp,443 992 2460 3389 5005 5555 1194
United States 4 (TCP),198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138,tcp,443 992 2460 3389 5005 5555 1194
United States 4 (UDP),198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138 198.20.170.138,udp,443 992 2460 3389 5005 5555 1194
United States 5 (TCP),173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58,tcp,443 992 2460 3389 5005 5555 1194
United States 5 (UDP),173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58 173.208.68.58,udp,443 992 2460 3389 5005 5555 1194
United States 6 (TCP),104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22,tcp,443 992 2460 3389 5005 5555 1194
United States 6 (UDP),104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22 104.250.122.22,udp,443 992 2460 3389 5005 5555 1194
United States 7 (TCP),173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26,tcp,443 992 2460 3389 5005 5555 1194
United States 7 (UDP),173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26 173.234.32.26,udp,443 992 2460 3389 5005 5555 1194
United States 8 (TCP),104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82,tcp,443 992 2460 3389 5005 5555 1194
United States 8 (UDP),104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82 104.250.96.82,udp,443 992 2460 3389 5005 5555 1194
United States 9 (TCP),108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231,tcp,443 992 2460 3389 5005 5555 1194
United States 9 (UDP),108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231 108.59.8.231,udp,443 992 2460 3389 5005 5555 1194
